sentiment,text
negative,سوء هاتف !
negative,عيوب لي في حمي زاف اتر عيا في في اميرا لي مليح تصوير
negative,صراح ميصلحش شريت دم
negative,خاو سمحول صح هاتف 0 ثقيل ريزو
negative,خي هاتف را عند و سخ زاف اش نديرل
negative,ودي عند هاذ رطابل هو مليح صح كان دير يه مد عام بد نقص لاقي يلسق رطابل سخ مراكش دير يه سخ رام حد روحو وميستخدمش رام ومبل هو في 4 جيغ رام بس يتخدم 3.5 رام رك ميستخدمش ومبل اميرا متعودش ضح وقف تطبيق في خلفيه لاص سرجور و سماع كي خر كي ديرل وش عود كي خر تا ودي ميصلحش بس <بر>نحمدو رب  🙂
negative,سخ
negative,بعد عام من استخدام ريزو ناقص زاف في اماكن لي تلفون اخر حكمو في كونكسيو هو ما يحكمش باطر يفكيف
negative,عند هذا هاتف صل شعل طفي حد ما سب؟
negative,شري هذا اب صح كي عيط يه منقدرش كوبي حت كوبي طرف ثان
negative,هاتف سيء عن جرب وندور مغيريل سم
negative,ردم ليف خرد تع اش
negative,غير ماتشريوهش راه مدايرل التابع پروبلمس مع غاش كي كو هدر ت غيص تسجيل هدر ا هاو ڤويكز ،يجر سجيل هذه مكالمه  😬 😖
negative,شريت ندم اتر عيا زاف
negative,صيح ما تشروش وت 8 2021 في زاف عيوب باتر هبط طيار را نشارج في قريب 3 مر نهار سخ قول وندور و جود صوت زاف عيا ما يسمعش كي كو تفرج في لم صوت تقطع من تيليف ما علاباليش لا غير نا عند هذا بروبلام لا تيليفون امل لي شرا قولي ..
negative,ريز في قليل زاف اش هو حل
negative,جماع من عيوب تع رادم امل نو ميجيش معا تمان ليق شر حد
negative,تسجيل مع وقت خرج راه عند
negative,ماتشريهتش
negative,عند مشكل في تخز في هذا هاتف ليس في كثير لكن قال لا وجد مساح في تخز
negative,مذ شتغل هاتف تلقاءي اثناء مس او حريك
negative,سلام نا عند هاتف ردم وت 8 سخ زاف كي ون يشارج اباطر هبط زاف
