اسوء هاتف !,negative
عيوب لي فيه يحمى بزاف وباتري عيانة فيه في كاميرا لي مليحة والتصوير,negative
صراحة ميصلحش شريتو وندمة,negative
خاوتي سمحولي بصح هاتف 0 وثقيل فالريزو,negative
أخي الهاتف راه عندي و يسخن بزاف واش نديرله,negative
يودي عندي هاذ برطابل هو مليح بصح كان دير بيه مدة عام يبدا ينقص يلاقي يلسق وبرطابل يسخن مراكش دير بيه ويسخن ورامات وحده يروحو وميستخدمش رامات كومبلي هو فيه 4 جيغا رام بس يتخدم 3.5 رام برك ميستخدمش كومبلي  كاميرا متعودش واضحه يوقف التطبيقات في الخلفيه بلاصة السرجور و السماعات كي لخرا كي ديرلو بوشات يعود كي لخرا تاني يودي ميصلحش بس <br>نحمدو ربي 🙂,negative
يسخون,negative
بعد عامين من الاستخدام الريزو ناقص بزاف في الاماكن لي تلفونات الاخرى يحكمو فيهم الكونكسيو هو ما يحكمش والباطري كيفكيف,negative
عندي هذا الهاتف صلى شعل ويطفى وحدو ما السبب؟,negative
شريت هذا كابة بصح كي نعيط بيه منقدرش نكوبي حتى يكوبي الطرف الثاني,negative
هاتف سىء عن تجربة كوندور مغيريله اسمه,negative
Redme تليفون خردة تع لاشين,negative
"Ghirrr matchriiwehch rahou mdayrlii des problèmes m3a lghachiii ki nkoun nhdr et nghiss l&#39;enregistrement yhdrha a haute voix ,,يجري تسجيل هذه المكالمة 😬😖",negative
شريتو وندمت باتري عيانة بزاف,negative
نصيحة ما تشروش نوت 8 2021  فيه بزاف العيوب الباتري تهبط طيارة راني نشارجي فيه قريب 3 مرات فالنهار يسخن تقول كوندور و جودة الصوت بزاف عيانة ما يسمعش كي نكون نتفرج في فيلم الصوت يتقطع من التيليفون ما علاباليش الا غير انا عندي هذا البروبلام ولا فالتيليفونات كامل اللي شراه يقولي ..,negative
ريزو فيهم قليل بزاف واش هو الحل,negative
جماعة من العيوب تع رادمي كاملين انو ميجيش معاهم كتمان يليق تشريه وحدو,negative
التسجيلات مع الوقت تخرج راهي عندي,negative
ماتشريهتش,negative
عندي مشكل في التخزين في هذا الهاتف ليس فيه الكثير لكن يقالك لا توجد مساحة في التخزين,negative
لمذا يشتغل الهاتف تلقائيا اثناء لمسه او تحريكه,negative
سلام انا عندي هاتف redmi not 8 يسخن بزاف كي كون ايشارجي ولاباطري تهبط بزاف,negative
معجبنيش,negative
والله غير الكتمان يعيو,negative
شريته اليوم .. بصح والله ليسخن  مع العلم خدمت بيه غي شوي 💔,negative
ياكلي كونكسيو بزاف و يوتيوب مايمشيش بلخف,negative
كاميرا 1 فهمتنا فيها ولكن باقي وريتنا صور وماقلتناش كيفاه صورتهم قد ماجربت معرفش كيفاه نصور بكاميرا 4 لي قلتنا عزل خلفية لي يعرف يقولي,negative
أكبر غلطة درتها كي شريتو مشاكل تاع ريزو .يعيطولك ما يخرجش شكون راهو يعيطلك يكوبي وحدو,negative
يطفى واش دير بيه,negative
شريتو من الاول ضعيف في الشبكة ودك راحت كامل مكانش كامل الريزو ويسخن في الاستعمال العادي شكون يقدر يفيدني,negative
سلام بعد استعمال 3اشهر لردمي9 تقاسلي  شوية بالماء من الورا اديته لمصلح الهواتف بدلو بياسة تابعة لي شحن الهاتف ومكان سماعات  ورجعهولي بصح كي فتحتو لقيت فيه  مشكل انو يعمل في اعادة التشغيل وحدو ممكن رد,negative
كاين فيه مشكل نقص كبير في الشبكة!,negative
ماتشروش ريدمي,negative
Nhir f nas li ydirou 👎🏻<br>Bon courage ❤,negative
حجمه صغير على ريدمي9,negative
Khoya rabi yhfdk jwbni raha 3ndi rdmi not 8 gi n3yt raha ytfa mych3lch hata ndih lsmch ych3l jwbni khya we chkran,negative
تغير الان مش كيما كان بقا غير عيب الكاميرا خارجة,negative
Slm ana selfie ytbdel khtra ywli safi khtrat ytbdel ljaune mafhmtch 3lh,negative
Kan 3ndi wahd ba3to kima le hemar ba3to 25,negative
صح مع لوقة يولي يلاغي😕؟؟,negative
العيب الوحيد في اعتقادي هو البطارية فقط 4000 ملي امبير تمنيت 5000 او اكثر ممكن  تقدملنا هاتف مثله بتلك القوة من البطارية,negative
انا عندي مشكل فالهاتف نتاعي انو كل وقت يقولي ان الذاكرة مملوؤة مفهمتس علاه واش ندير,negative
عندي واح كما هذا بصح النلكموند محبتش تمشيلي نشعل لبلتوت,negative
"خويا عندي رادمي نوت 8 برو يسخن بزاف ويطفى وحدو ويروحلو الريزو ،،،من فضلك اذا عندك حل تفهمني",negative
السلام جاوبني من فضلك شريت رادمي نوت 8 t  الباترتي تقعد ساعتين باش تطلع من 10% ل 100%  و نقعد تكونيكتي بيه ساعتين بالويفي  تهبط ل 50% <br>قالولي إذا هاذ الشي عادي و لالا؟؟؟؟,negative
انسقسيق برك صح الريزو ناقص,negative
يعاني من مشاكل في اتصال الشبكه,negative
صاحبي كي نبغي اورجستري نيميرو ميحبش مناه,negative
انيس خويا الله يرضى عليك شريت واحد كيفو باطة بيضاء مي عندي مشكل ريزو واش نديرله باه يخدم عادي و شكرا مسبقا,negative
انيس خويا الله يرضى عليك شريت واحد كيفو باطة بيضاء  مي عندي مشكل ريزو  واش نديرله باه يخدم عادي و شكرا مسبقا,negative
"تشريه ، وراني مجروبوا ، اقسم بالله يا في مدة خمس شهر غير بداو يروحوالوا حوايج ، كاين des app ميدخلوليش ديراكت مهما سيت ، وشريت ل global  ماشي هندي ، اللهم اني بلغت .",negative
خويا شريتو وريزو مكانش لي يعيطلي مايحكمنيش,negative
انا شريتو وندمت لباطري تاعو خرا فخرا يطيح ليه ليه يبهدل وزيد يسخن بزاف نحكي خمس دقائق يرجع يغلي بسخانة ضيعت كامل دراهمي,negative
Ana maktla3ch Liya dik lbola f lich3ar mn lfo9 fin kayn lmochkil,negative
لا توجد فيه كاميرا بدقة48 كله كذب..  ارهن ان شريكة دفعت  لك مقبابل  بيع الاوهام للشعب <br>الكاميرا الامامية ضعيفة  مستحيل تكون 48,negative
صح ما يقبلش الفيس و الفايبر و الايمو و الواتس مع بعضهم,negative
كيفاش تقولنا ناس لي يخدمو فيديوات في اليوتيوب ننصحهم بهذا الهاتف. تلفون سالفيه كحل ميبين والو  والبطارية ضعيفة,negative
بطارية ضعيفةةة,negative
بطارية ضعيفةةة,negative
بطارية ضعيفةةة جدا قولهم الحقيقة  انا شريتو وبعتو على جال ضعف البطارية. وسالفي ناقص,negative
هههه ما عجبنيش من ناحية الشاشة و معالجة الصور و الفيديوهااات اما البقية ربي يبارك,negative
لاه النوت 8 أقوى من الـ9 لااااااااااه باغي نكفر 😡😡😡😡,negative
مانيش علاه ما يعجبونيش,negative
Mafhmtch 3lh la qualité d image ta3 l&#39;appel vidéo messenger mch mliha Tji bayda yaser mch réele khlh,negative
انا باطري ماتحكمش أين الخلل,negative
Même le son f Les appels ma tesma3che mlih,negative
صراحة شكل redmi note 8 احسن من شكل redmi note 8 pro,negative
mala njib note 8 a7sin mn note 9,negative
ميشوش كامل الكاميرات تمشي غير الكاميرا الثانية برك,negative
اخوتي كيفاش نبدل الكاميرات,negative
"Les caméras ymcho fi 4 ??? Psq kyen li rahom y9olo tmchi wehda berk  , svp li 3ndo Note 8 ida ymcholo fi 4 wela whda berk ??????????????????👐",negative
3andi prblm f redmi note 8 ki nkoun nahdar m3a kach wahad yabda yasma3 f hdarto t3awad o haut parleur marahach yakhdamli,negative
انا عندي ريدمي مي عندي مشكل الصور يتكررو بزاف ولكان نرمي فوطو يتمسح من الملفات لخرين كيفاش ندير,negative
راه عندي نسخة صينية ماعجبنيش من ناحية لباتري حسيتو يستنزف اول مرة كي شعلتو خدمت بيه بلا ويفي نكتشف برك في التطبيقات في ربع ساعة هبط ل 96% و راني بسمانة بيه ماتحسنش وضح البطارية اسكو الحل تاعها راح يكون في التحديث !,negative
خويا انا شريت لي باطة تاعو زرقة معنتها تكلخت ؟؟,negative
جبته و ماحبش يحكملي الكونكسيون لا ويفي و لا 3جي قلقني واش ندير تعيش عاوني,negative
كاين جماعة اديرو نسخة مزيفة في علب بيضاء تخص النسخ العالمية,negative
هههههه,negative
فيه عيب واحد مكالمة الانظار غير موجودة في كل اصدارات رادمي,negative
شريتها فيه كميرا وحد مفيش ربعا كاميرات,negative
الجهاز لا يستحق الشراء ولا انصح فيه <br>في ال Vivo y20 افضل منه بكثير وممتاز,negative
كاش واحد يجاوبني انا وقت نغط كاميرا 2 ميبقاش يصور,negative
"قولي منفضلك كيفاش نأكتيفي نوتيفيكيشن لاد ، مراهيش تشعل .",negative
انا مش فاهم اي كلمه,negative
و نسيت ماههدرتش<br>لا تكسر تولي تحرث باش تخدمو <br>أفيشور ب 38000 <br>كونيكتور,negative
ياودي فيبرور تاعو عيان ميت,negative
خويا وش ما لميزو تخدم مقوليش في سمسونك!!!,negative
يا جماعة اللي عندو هاذيك المشكلة في ببجي يحمل تطبيق pupg advanced tools graphics و قم باعدادات الجرافيك ولما تدخل للعبة راح تولي تقدر تبدل لhd و hdr الخ,negative
نتيا هدرت علي الجزاز يفسد😒😒,negative
العزل معندوش علاقة مع البيكسل ...العزل مربوط بالفتحة كل وين تكون الفتحة كبيرة كل وين يكون العزل,negative
تعيش خويا أنيس انا شريتو من ربع أيام حسيتو يطيح بزاف فلباتري معلاباليش علاش بلاك راني متوشيا حاجه ولا خاطر بلا مايكونو ليدوني مفتوحين <br>يطيح بالدرجه بالدرجه بصح بالخف,negative
عندي ردمي نوت8 بس الرقم ميتسجلوش في الشريحة ليش,negative
Nhawas nbadel oppo a31 bredmi note 8 wch tansahni,negative
😭😭😭😭😭😭😭😭😢😢😢😢😢😭😭😭😭😭 كانت حابا نشريه بصح زادو لو في السعر بزااااااااف,negative
عند مشكل في لبلوتوث نتاع رادمي نوت 8 مع mp5 player يتقطع الصوت ما هو الحل,negative
خويا not 8 pro   كي نهدر بلكام فوق نص ساعة يسخن,negative
محكيتلناش علا مساحة التخزين,negative
اخويا عافك كيف جودة تصوير فيدوهات طبخ اليوتيب,negative
بصح مشي مليح مين ميدعمش البلوتوث,negative
خاصية مكالمة ثانية مابغاتش تتبرمج فيه جربت شحال من فارسيون مابغاش يتفعل واش نعمل,negative
تحديثات برك لي تخصهم  ولا  الهواتف المسوقة للسوق الجزائري غير الهواتف المسوقة للسوق الاوروبي والامريكي والصيني بفففف,negative
"بالنسبة للكاميرا الخارجة قليلا يمكن انه يخسر الكاميرا،😥",negative
وعلاه ميخرجش اونطوند,negative
"كاين عندي مشكل في ردمي 8 ديفوا نكون فاتحة مسنجر يعيط وحدو لاخر صديق نكون حكيت معاه حتى نقطع انا ، مفهمتش علاش ولا عندي انا برك هذ المشكل ؟؟؟",negative
عندك حق في ببجي <br>في اي هاتف كي دير ببجي فيه وهو مازال جديد رح يديرلك نفس البروبلام  لازم طول معاك اللعبة وهي في التيليفون والا في التابليت والا في البيسي بعد مدة رح تتريقل وتولي اللعبة خفيفة,negative
بصح خويا ميخرجش لأوناتونط انا عندي وطالعتلي فيه تسجيل لمكلامات بصح متطلعش لاونتونت,negative
Khawti ki ndkhel bch nchof wch m prosiseur khregli cpu octa core max,negative
دخلت نشوف التعليقات لي كاسبينوا نشوف لاراهوم يشكرو فيه ولا العكس بصح كي قريت التعليقات انخلعت حتى عاودت طلعت للفيديو قولت بالاك راني غالط مرانيش في الفديو تاع مميزات وعيوب تليفون امركم عجيب خاوتي الجزايريين,negative
ميطلعش entente كيفاش ريڨله,negative
Chkoni da7k 3ala,negative
خويا اشترا محبتش تمشيلو الكاميرة الامامية ومول حانوت محبش يرجعهولو واش الحل ؟,negative
سلام انيس يعطيك الصحة.انا عندي ريدمي نوت 8 تي عندي شهر ملي شريتو بصح حتى الان راه فالثلاث خطرات يتروديمارا وحدو وين راه المشكل معرفتش حبيت نعرف اذا حاجة نورمال ولا فيه مشكل.ان شاء الله ترد عليا.سلام,negative
خويا انصحني 2ابال ماتخرجليش كي يحكي ونعيطلو مانحكمش اوناتونت,negative
Ana 3andi redmi note 8 t wrah yoskhon bzaaaaf hta mnjmch nsma3 bih,negative
قلقني كراحو يقول biece,negative
Starlight أنا شريت من النهار الاول يسخن في ساع وطيح لاشارج نتاعو في ساع يشبه لكندور,negative
3ayan bezaf ytafi edaw wmate9derch tcoupi kitkemal l&#39;appel,negative
بركا ماتخرط,negative
الكامرات كامل ميخدموش غير واحدة,negative
انا ماتجينيش notification اللي تسينيالي  هاداك الضوء الصغير لفوق<br>كيفاش ناكتيفيه؟؟,negative
انا كاميرا خرجتلي مضبا شوية ماشي صافية معرفتش كيفاش نعدله,negative
بصح غالي,negative
اعطيني طريقة كيفاه نقدر نشوف الا لي نعيطلو اوناتونت والا لالا مالقيتش كيفاه ناكتيفيها,negative
لباطري تاعو كي ندير فيها الالعاب تهبط بزربة,negative
ناس راهم طورو وانا مزالي condor p8 نعاني يطفا فل 75 هدا هو الزوالي,negative
مي يسخن أخي الكريم والله منعرف علاه ...<br>مام السم...غ أفضل من ناحية الخفة ووو,negative
كاين ليكول ان الشاشة  تتحرك من وراء عام,negative
"من فضلكم ، صراحة معجبنيش ف التصوير خصوصا فيديو حسيت رميت 4ملاين في باطل🤭😏",negative
كي نعيط ويكونو يهدرو مايبينش أوناتونت علي هادي كرهتو ومالقيتلوش حل😭😭,negative
Slm ana rah 3andi fi 8 mois mais had lyamat j&#39;ai remarqué rah yahmali chwiya même chargeur yahma ktar esq c normal ???,negative
عندي. رادمي توت 8 يسخن بزاف,negative
شريت ريدمي نوت 8 بصح مالقيتش الاوناطونت يعني اذا كان واحد يحكي ماتطلعش عندي أنه اوناطونت وكيف كيف انا كي نكون نحكي اللي عيط لي يصوني نورمال مايلقانيش اوناطونت <br>بغيت الحل😭😭😭,negative
الله ينوب,negative
Ana chriti ma3jabnich t9il flbasba dyalo wdarya ytsala chahn fnharo wradito lmoulah,negative
Tani maykharajlakch f lappl que li 3ayatlo raho en attente,negative
L9ytou 42 jani ghali bezaff,negative
ريزو ناقص بزاااف معرفتش علاه,negative
وفيه حاجة ماهدرتش عليها  في زوج هواتف في هاتف واحد ممكن انت ماتولهتلهاش,negative
انا شريتو بلوكالي زوج خطرات وخرجتلي الشاشة السوداء,negative
عندي مشكل ضعف شبكة الاتصال والانترنات في هاتف redmi not7pro ما لقيتش ليها حل اذا عنكم حل قولولي,negative
"ربما العيب فيه حسب رأيي هو مدخل الشرائح ، حبذا لو لم تكن في الجنب",negative
الله يحفضك ديرلنا الحل المشكل نتاع الويفي 😭😭😭😭,negative
مليح في كلش غير كي يكون واحد يهدر ميخرجش اوناطونت😭😭😭,negative
هاتف redmi👎👎👎👎👎👎👎👎  ,negative
اهههههههههههههههههههههههههههههههههههههههههههههههههه,negative
هيا لي عدو رادمي يدلو جام انا الله غالب عدي  كوندور (قدور),negative
مافيهش  كيثمان,negative
نننننننان,negative
جربتو في الالعاب كلما يقدام يولي يسخن,negative
عيب اخر انو ثقيل شوي خاصة بالنسبة للناس لي تستعمل الهاتف بزااف ثقيل شوي على اليد .وشكرا على هذه المراجعة المميزة .,negative
خويا انيس تعيش جاوبني انا عندي رادمي نوت 8 بصح الكاميرا سالفي تاعو متعجبنيش تجيني شغل مغبشة سيرتو لاكام تاع سناب متبانش خلاص 💔💔,negative
ولكن بعد استعمال دام 6 اشهر اصبع عند الضغط على زر الاشعال بستغرق وقت لماذا مع العلم انه النسخه الصينية و هل يتصلح او لا,negative
Khoya 3andi problem mayjinich appel en attente Ida Kayen configuration madabya tfidouna ... Chokran,negative
باتري كي نكون نلعب بابجي بزاف باتري شعال تشد جاوبني خويا بليز,negative
Note 8 mafihch réseau,negative
خويا كي يعطولي يصوني مي مانقدرش نرفد ولا نشوف حتى يكوبيو باه نعرف لي عيطلي هبلني كيفاش ندير,negative
